1156547,4813955,212,212,32
1156541,4813948,212,212,32
1156541,4813948,210,210,32
1156534,4813942,209,209,32
1156528,4813934,209,209,32
1156523,4813927,209,209,32
1156516,4813920,209,209,32
1156511,4813913,209,209,32
1156505,4813906,209,209,32
1156500,4813897,209,209,32
1156500,4813897,198,198,39
1156497,4813886,198,198,39
1156497,4813886,195,195,42
1156493,4813875,195,195,42
1156490,4813864,195,195,42
1156486,4813854,195,195,42
1156482,4813843,195,195,42
1156478,4813833,195,195,42
1156478,4813833,0,0,0
1156455,4813771,0,0,0
1156455,4813771,193,193,44
1156452,4813760,193,193,44
1156448,4813750,193,193,44
1156448,4813750,194,194,43
1156444,4813740,194,194,43
1156440,4813729,194,194,43
1156436,4813719,194,194,43
1156432,4813708,194,194,43
1156443,4813700,194,194,43
1156443,4813700,183,183,45
1156446,4813689,183,183,45
1156446,4813689,184,184,48
1156448,4813678,184,184,48
1156448,4813678,185,185,48
1156448,4813666,185,185,48
1156448,4813643,185,185,48
1156461,4813640,185,185,48
1156461,4813640,176,176,47
1156465,4813630,176,176,47
1156465,4813630,171,171,48
1156468,4813619,171,171,48
1156468,4813619,167,167,48
1156474,4813608,167,167,48
1156474,4813608,161,161,48
1156481,4813597,161,161,48
1156481,4813597,157,157,49
1156488,4813585,157,157,49
1156488,4813585,158,158,50
1156496,4813574,158,158,50
1156496,4813574,157,157,51
1156504,4813562,157,157,51
1156504,4813562,157,157,52
1156512,4813550,157,157,52
1156519,4813538,157,157,52
1156527,4813526,157,157,52
1156527,4813526,158,158,52
1156534,4813514,158,158,52
1156534,4813514,159,159,51
1156541,4813502,159,159,51
1156548,4813490,159,159,51
1156548,4813490,158,158,51
1156556,4813478,158,158,51
1156556,4813478,160,160,51
1156562,4813467,160,160,51
1156562,4813467,160,160,49
1156569,4813456,160,160,49
1156569,4813456,156,156,43
1156575,4813448,156,156,43
1156575,4813448,150,150,32
1156580,4813443,133,133,19
1156584,4813440,137,137,14
1156586,4813439,123,123,9
1156587,4813439,106,106,1
1156586,4813440,76,76,0
1156585,4813440,2,2,0
1156584,4813441,78,78,0
1156584,4813442,61,61,0
1156583,4813442,357,357,0
1156583,4813443,72,72,0
1156582,4813443,81,81,0
1156582,4813444,193,193,0
1156581,4813444,82,82,0
1156581,4813444,109,109,0
1156581,4813444,86,86,0
1156581,4813444,104,104,0
1156581,4813445,268,268,0
1156580,4813445,266,266,0
1156579,4813446,285,285,0
1156578,4813446,279,279,0
1156577,4813447,1,1,0
1156575,4813447,310,310,0
1156574,4813448,300,300,0
1156572,4813448,310,310,0
1156570,4813449,278,278,0
1156568,4813449,299,299,0
1156567,4813449,248,248,0
1156565,4813449,244,244,0
1156564,4813449,184,184,0
1156563,4813449,290,290,0
1156562,4813449,278,278,0
1156560,4813448,172,172,0
1156559,4813448,159,159,0
1156558,4813448,94,94,0
1156556,4813448,0,0,0
1157157,4813140,0,0,0
1157148,4813143,141,141,7
1157148,4813143,130,130,3
1157151,4813141,135,135,0
1157154,4813140,104,104,0
1157157,4813138,101,101,0
1157162,4813135,105,105,0
1157164,4813134,117,117,0
1157162,4813135,109,109,0
1157162,4813135,105,105,0
1157162,4813135,113,113,0
1157162,4813135,103,103,0
1157163,4813135,105,105,0
1157164,4813135,106,106,0
1157164,4813135,113,113,0
1157164,4813135,108,108,0
1157164,4813135,109,109,0
1157163,4813135,104,104,0
1157163,4813135,100,100,0
1157163,4813135,101,101,0
1157163,4813134,107,107,0
1157163,4813134,96,96,0
1157164,4813134,95,95,0
1157164,4813134,98,98,0
1157165,4813134,79,79,0
1157167,4813133,92,92,0
1157169,4813132,106,106,0
1157171,4813132,94,94,0
1157172,4813131,89,89,0
1157173,4813131,107,107,0
1157174,4813131,103,103,0
1157174,4813131,100,100,0
1157174,4813131,113,113,0
1157174,4813131,101,101,0
1157173,4813132,116,116,0
1157173,4813132,109,109,0
1157172,4813132,108,108,0
1157172,4813133,105,105,0
1157171,4813133,107,107,0
1157172,4813133,102,102,0
1157172,4813133,100,100,0
1157172,4813133,109,109,0
1157173,4813133,107,107,0
1157174,4813133,99,99,0
1157175,4813133,104,104,0
1157176,4813133,103,103,0
1157176,4813133,109,109,0
1157177,4813133,104,104,0
1157177,4813133,111,111,0
1157177,4813133,108,108,0
1157177,4813134,102,102,0
1157176,4813134,101,101,0
1157175,4813134,104,104,0
1157174,4813135,112,112,0
1157174,4813135,98,98,0
1157173,4813136,114,114,0
1157172,4813136,99,99,0
1157172,4813136,104,104,0
1157171,4813137,100,100,0
1157170,4813137,99,99,0
1157169,4813138,116,116,0
1157168,4813138,97,97,0
1157168,4813138,103,103,0
1157167,4813138,101,101,0
1157166,4813139,94,94,0
1157166,4813139,106,106,0
1157166,4813139,103,103,0
1157165,4813140,108,108,0
1157165,4813140,87,87,0
1157164,4813140,99,99,0
1157164,4813140,89,89,0
1157163,4813140,96,96,0
1157162,4813140,94,94,0
1157162,4813140,98,98,0
1157162,4813140,97,97,0
1157162,4813140,91,91,0
1157162,4813140,43,43,0
1157162,4813140,105,105,0
1157162,4813140,118,118,0
1157162,4813140,142,142,3
1157163,4813139,148,148,7
1157166,4813137,140,140,13
