# highway=:
#   ncn_major, ncn_minor, ncn_offroad
#   rcn_major, rcn_minor, rcn_offroad
#   lcn_major, lcn_minor, lcn_offroad

# Cycle routes
polygon|leisure|pitch|0x19||20
polygon|leisure|sports_center|0x19||20
polygon|leisure|stadium|0x19||19
polygon|leisure|track|0x19||18
polygon|leisure|water_park|0x09||18
polygon|military|airfield|0x04||18
polygon|military|barracks|0x04||18
polygon|military|danger_area|0x04||18
polygon|military|range|0x04||18
polygon|natural|marsh|0x51||20
polygon|natural|mud|0x51||20
polygon|natural|water|0x3c||20
polygon|natural|wood|0x50||18
polygon|amenity|college|0x0a||18
polygon|amenity|grave_yard|0x1a||18
polygon|amenity|hospital|0x0b||18
polygon|amenity|parking|0x05||21
polygon|amenity|supermarket|0x08||21
polygon|amenity|university|0x0a||18

# Other polylines

polyline|aeroway|runway|0x27||20
polyline|contour|elevation|0x21||20
polyline|natural|coastline|0x15||12
polyline|power|line|0x29||20
polyline|railway|light_rail|0x14||18
polyline|railway|rail|0x14||18
polyline|railway|subway|0x14||18
polyline|railway|tram|0x14||18
polyline|route|ferry|0x1a||18
polyline|waterway|canal|0x1f||21
polyline|waterway|drain|0x1f||22
polyline|waterway|river|0x1f||18
polyline|waterway|riverbank|0x1f||20
