ARPT_IDENT	NAME	STATE_PROV	ICAO	FAA_HOST_ID	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	ELEV	TYPE	MAG_VAR	WAC	BEACON	SECOND_ARPT	OPR_AGY	SEC_NAME	SEC_ICAO	SEC_FAA	SEC_OPR_AGY	CYCLE_DATE	TERRAIN	HYDRO
BR06342	ARARAQUARA		SBAQ	N	WGE	WGE	S21484320	-21.812000	W048075890	-48.133028	02334	D	W019257 0106	1262	Y		CI					200602		
BR06973	TOLEDO		SBTD	N	WGE	WGE	S24411083	-24.686342	W053415097	-53.697492	01843	D	W015107 0106	1314	Y		CI					200604		
BR07280	ORIXIMINA		SB	SNOX	WGE	WGE	S01425070	-1.714083	W055501040	-55.836222	00262	D	W016447 0106	0947			CI					200607		
BR07810	BROTAS DE MACAUBAS		SB	SNKO	WGE	WGE	S11595782	-11.999394	W042380560	-42.634889	02667	D	W022128 0106	1067			CI					200411		
BR08073	FRANCA		SB	SIMK	WGE	WGE	S20353197	-20.592214	W047225853	-47.382925	03292	D	W020016 0106	1262			CI					200512		
BR08377	PREFEITO DOUTOR JOAO SILVA FILHO		SBPB	N	WGE	WGE	S02533749	-2.893747	W041435506	-41.731961	00016	D	W021105 0106	0945			CI					200605		
BR08650	UMBERTO MODIANO		SBBZ	N	WGE	WGE	S22461550	-22.770972	W041574630	-41.962861	00010	D	W022064 0106	1263	Y		PV					200603		Y
BR08671	SAO MATEUS		SB	SNMX	WGE	WGE	S18431683	-18.721342	W039500149	-39.833747	00098	D	W023068 0106	1189	Y		CI					200411		
BR08967	SANTA ISABEL DO MORRO		SB	SWIY	WGE	WGE	S11342024	-11.572289	W050395829	-50.666192	00647	D	W019109 0106	1068			CI					200411		
BR09559	MARECHAL CANDIDO RONDON		SB	SSCR	WGE	WGE	S24304562	-24.512672	W054031681	-54.054669	01411	D	W014582 0106	1314			CI					200509		
BR09887	JI PARANA		SB	SWJI	WGE	WGE	S10521489	-10.870803	W061504729	-61.846469	00594	D	W012065 0106	1070	Y		CI					200605		
BR09936	SAO JOSE DO RIO PRETO		SBSR	N	WGE	WGE	S20485964	-20.816567	W049242344	-49.406511	01784	D	W018540 0106	1262	Y		CI					200604		
BR10189	BACACHERI		SBBI	N	WGE	WGE	S25241828	-25.405078	W049135533	-49.232036	03057	B	W017581 0106	1313	Y		ML					200603		
BR10207	PORTO NACIONAL		SBPN	N	WGE	WGE	S10430990	-10.719417	W048235905	-48.399736	00870	D	W020142 0106	1068	Y		CI					200511		
BR10265	LAGES		SBLJ	N	WGE	WGE	S27465571	-27.782142	W050165335	-50.281486	03065	D	W016337 0106	1313	Y		CI					200604		
BR10597	FAZENDA PANORAMA		SB	SSZQ	WGE	WGE	S22022037	-22.038992	W056160992	-56.269422	01197	D	W014010 0106	1260			PV					200509		
BR10676	SIQUEIRA CAMPOS		SB	SSQC	WGE	WGE	S23402830	-23.674528	W049485559	-49.815442	02313	D	W018036 0106	1262			CI					200602		
BR10966	GUARARAPES GILBERTO FREYRE INTL		SBRF	N	WGE	WGE	S08073646	-8.126794	W034552294	-34.923039	00033	B	W022224 0706	1066	Y		ML					200609		
BR11293	CURVELO		SB	SNQV	WGE	WGE	S18445790	-18.749417	W044272530	-44.457028	02205	D	W021343 0106	1190			CI					200411		
BR11688	MARTE		SBMT	N	WGE	WGE	S23303283	-23.509119	W046381591	-46.637753	02368	B	W019538 0106	1262	Y		ML					200603		
BR12191	ITAU DE MINAS		SB	SJIT	WGE	WGE	S20451900	-20.755278	W046450059	-46.750164	02520	D	W020192 0106	1262			CI					200510		
BR12690	MONTE DOURADO		SBMD	N	WGE	WGE	S00532342	-0.889839	W052360810	-52.602250	00677	D	W018143 0106	0946	Y		CI					200607		
BR12759	COARI		SB	SWKO	WGE	WGE	S04080260	-4.134056	W063075720	-63.132556	00131	D	W012056 0106	1014			CI					200502		
BR13396	ARAPONGAS		SB	SSOG	WGE	WGE	S23211028	-23.352856	W051292996	-51.491656	02599	D	W017045 0106	1261	Y		CI					200603		
BR13713	TEN CEL AV CESAR BOMBONATO		SBUL	N	WGE	WGE	S18525824	-18.882844	W048133214	-48.225594	03094	A	W019500 0106	1190	Y		CI					200510		
BR14143	LENCOIS PAULISTA		SB	SDLP	WGE	WGE	S22344226	-22.578406	W048462862	-48.774617	02039	D	W018553 0106	1262	Y		CI					200509		
BR14346	MARECHAL RONDON		SBCY	N	WGE	WGE	S15391055	-15.652931	W056070019	-56.116719	00617	A	W015303 0106	1138	Y		CI					200510		
BR14370	ARAXA		SBAX	N	WGE	WGE	S19334769	-19.563247	W046573729	-46.960358	03276	D	W020227 0106	1190	Y		CI					200605		
BR14403	FEIJO		SB	SWFJ	WGE	WGE	S08095609	-8.165581	W070211087	-70.353019	00394	D	W006001 0106	1072			CI					200304		
BR14520	LAURO KURTZ		SBPF	N	WGE	WGE	S28143836	-28.243989	W052193561	-52.326558	02376	D	W014587 0106	1384	Y		CI					200601		
BR14630	CIBRASA		SB	SNCI	WGE	WGE	S01135160	-1.231000	W047120223	-47.200619	00174	D	W020025 0106	0946			PV					200411		
BR14754	MARECHAL CUNHA MACHADO INTL		SBSL	N	WGE	WGE	S02350730	-2.585361	W044140290	-44.234139	00178	A	W020492 0106	0945	Y		CI					200609		
BR14994	CAMPO FONTENELLE		SBYS	N	WGE	WGE	S21590442	-21.984561	W047200515	-47.334764	01968	C	W019494 0106	1262	Y		MI					200604		
BR15660	BLUMENAU		SB	SSBL	WGE	WGE	S26495032	-26.830644	W049052513	-49.090314	00060	D	W017386 0106	1313			CI					200509		
BR15940	JAGUARA		SB	SNJW	WGE	WGE	S20022520	-20.040333	W047251748	-47.421522	01909	D	W020054 0106	1262			CI					200509		
BR16053	ALTO PARAISO		SB	SDXF	WGE	WGE	S14071570	-14.121028	W047315110	-47.530861	01200	D	W020330 0106	1140			CI					200413		
BR16066	ARCOVERDE		SB	SNAE	WGE	WGE	S08242835	-8.407875	W037051745	-37.088181	02080	D	W022294 0106	1066	Y		CI					200411		
BR16103	PIRES DO RIO		SB	SWPR	WGE	WGE	S17190889	-17.319136	W048200525	-48.334792	02428	D	W019574 0106	1190			CI					200411		
BR16530	URUCU		SB	SWUY	WGE	WGE	S04530319	-4.884219	W065211956	-65.355433	00210	D	W010241 0106	1013	Y		PV					200502		
BR16670	PRADO		SB	SNRD	WGE	WGE	S17174830	-17.296750	W039161640	-39.271222	00066	D	W023153 0106	1189			CI					200411		
BR17652	PARANAVAI		SB	SSPI	WGE	WGE	S23052361	-23.089892	W052291868	-52.488522	01526	D	W016286 0106	1261			CI					200511		
