ARPT_IDENT	HIGH_IDENT	LOW_IDENT	HIGH_HDG	LOW_HDG	LENGTH	RWY_WIDTH	SURFACE	PCN	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HE_TDZE	HE_DT	HE_DT_ELEV	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	HLGT_SYS_4	HLGT_SYS_5	HLGT_SYS_6	HLGT_SYS_7	HLGT_SYS_8	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LE_TDZE	LE_DT	LE_DT_ELEV	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	LLGT_SYS_4	LLGT_SYS_5	LLGT_SYS_6	LLGT_SYS_7	LLGT_SYS_8	HE_TRUE_HDG	LE_TRUE_HDG	CLD_RWY	HELAND_DIS	HE_TAKEOFF	LELAND_DIS	LE_TAKEOFF	CYCLE_DATE
AF28606	36	18	4.5	184.5	08218	00150	ASP	039FAWT	N34115574	34.198817	E062133568	62.226578	3133.0	0.9	U		U									N34131638	34.221217	E062134808	62.230022	3206.0	-0.9	U		U									7.3	187.3		08218	08218	08218	08218	200609
AF39176	24	06	243.0	63.0	10361	00150	ASP	094RAWT	N36424606	36.712794	E067133324	67.225900	U	U	U	2553	U									N36420373	36.701036	E067113645	67.193458	U	U	U	0535	U									245.8	65.8		07808	10511	09826	10361	200413
AF50693	21	03	206.0	26.0	09852	00180	CON	029RCWT	N34572870	34.957972	E069162260	69.272944	4878.0	0.1	U		U	06	09	50	53					N34560350	34.934306	E069152520	69.257000	4888.0	-0.1	4888.0		U	06	09	50	53					209.0	29.0		09852	09852	09852	09852	200608
AF60849	23	05	233.0	53.0	10532	00148	ASP	059FAWT	N31305039	31.513997	E065514217	65.861714	U	U	U	2001	3330.0	07	50							N31295104	31.497511	E065500216	65.833933	U	U	3303.0		U	07	50							235.0	55.0		08531	10532	10532	10532	200605
AF75939	36	18	360.0	180.0	09140	00160	CON	032RBWT	N33224360	33.378778	E062153739	62.260386	3773.0	0.0	U		U									N33241390	33.403861	E062154211	62.261697	3773.0	0.0	U		U									2.5	182.5		09140	09140	09140	09140	200502
AF87064	31	13	309.0	129.0	07262	00148	ASP		N34233565	34.393236	E070302753	70.507647	1809.0	0.1	U		U	55								N34242320	34.406444	E070292257	70.489603	1814.0	-0.1	U		U	55								311.0	131.0		07262	07262	07262	07262	200602
AF92944	29	11	290.0	110.0	06558	00148	ASP		N36394200	36.661667	E068551610	68.921139	1460.0	0.0	U		U									N36400750	36.668750	E068540210	68.900583	1457.0	0.0	U		U									293.0	113.0		06558	06558	06558	06558	200513
AF94313	29	11	285.0	105.0	11483	00164	ASP	059RBWT	N34334023	34.561175	E069134991	69.230531	5872.0	0.0	5877.0	2325	U	05	11	50						N34341383	34.570508	E069113951	69.194308	5869.0	0.0	5872.0	0080	U	05	12	50						287.0	107.0		09158	11643	11403	11672	200604
AF94325	24	06	243.0	63.0	04582	00070	ASP		N36451722	36.754783	E065552322	65.923117	U	U	U		U									N36445856	36.749600	E065543192	65.908867	U	U	U		U									246.0	66.0		04582	04582	04582	04582	200603
AF94326	32	14	320.0	140.0	05090	00076	GVL		N35553068	35.925189	E064455784	64.766067	U	U	U		U									N35561099	35.936386	E064452075	64.755764	U	U	U		U									323.2	143.2		05090	05090	05090	05090	200305
